รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGEE502_secsec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,8,จันทร์_8
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,9,จันทร์_9
ENGEE502_secsec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,9,จันทร์_9
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,10,จันทร์_10
ENGEE502_secsec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,10,จันทร์_10
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,11,จันทร์_11
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,15,จันทร์_15
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,16,จันทร์_16
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_205,theory,จันทร์,17,จันทร์_17
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_205,theory,จันทร์,18,จันทร์_18
ENGCE115_sec1,co-op,อ.กิตตินันท น้อยมณี,ทค1_205,theory,จันทร์,19,จันทร์_19
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,อังคาร,8,อังคาร_8
ENGCE122_sec1_lab,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_202,lab,อังคาร,9,อังคาร_9
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,อังคาร,9,อังคาร_9
ENGCE122_sec1_lab,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_202,lab,อังคาร,10,อังคาร_10
ENGCE123_sec2,system,อ.ปณต พุกกะพันธุ์,ทค2_101,theory,อังคาร,10,อังคาร_10
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,10,อังคาร_10
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,11,อังคาร_11
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_205,theory,อังคาร,12,อังคาร_12
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,15,อังคาร_15
ENGCE125_sec1_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_201,lab,อังคาร,15,อังคาร_15
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,16,อังคาร_16
ENGCE125_sec1_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_201,lab,อังคาร,16,อังคาร_16
ENGCE106_sec1,data communication,อ.อรรถพล วิเวก,ทค2_301,theory,อังคาร,17,อังคาร_17
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_202,theory,อังคาร,17,อังคาร_17
ENGCE126_sec1,database,อ.ขวัญชัย เอื้อวิริยานุกูล,ทค1_201,theory,อังคาร,17,อังคาร_17
ENGEE105_secsec1,คอม,บิว,ทค2_201,theory,อังคาร,17,อังคาร_17
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_202,theory,อังคาร,18,อังคาร_18
ENGCE126_sec1,database,อ.ขวัญชัย เอื้อวิริยานุกูล,ทค1_201,theory,อังคาร,18,อังคาร_18
ENGEE105_secsec1,คอม,บิว,ทค2_201,theory,อังคาร,18,อังคาร_18
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_202,theory,อังคาร,19,อังคาร_19
ENGCE126_sec1,database,อ.ขวัญชัย เอื้อวิริยานุกูล,ทค1_201,theory,อังคาร,19,อังคาร_19
ENGEE105_secsec1,คอม,บิว,ทค2_201,theory,อังคาร,19,อังคาร_19
ENGEE502_secsec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,8,พุธ_8
ENGEE502_secsec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,9,พุธ_9
ENGEE502_secsec2,ไฟฟ้า,เอก,ทค1_101,theory,พุธ,10,พุธ_10
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,theory,พุธ,11,พุธ_11
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,theory,พุธ,12,พุธ_12
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,พุธ,12,พุธ_12
ENGCC304_sec1,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,theory,พุธ,13,พุธ_13
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,พุธ,13,พุธ_13
ENGCE120_sec1,basic computer,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,พุธ,14,พุธ_14
กิจกรรม,กิจกรรม,N/A,N/A,activity,พุธ,15,พุธ_15
กิจกรรม,กิจกรรม,N/A,N/A,activity,พุธ,16,พุธ_16
ENGCE114_sec1,project,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พุธ,17,พุธ_17
ENGCE117_sec1,com programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,พุธ,17,พุธ_17
ENGCE117_sec2,com programming,อ.อนันท ทับเกิด,ทค1_101,theory,พุธ,17,พุธ_17
ENGCE114_sec1,project,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พุธ,18,พุธ_18
ENGCE117_sec1,com programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,พุธ,18,พุธ_18
ENGCE117_sec2,com programming,อ.อนันท ทับเกิด,ทค1_101,theory,พุธ,18,พุธ_18
ENGCE114_sec1,project,อ.ปณต พุกกะพันธุ์,ทค1_202,theory,พุธ,19,พุธ_19
ENGCE117_sec1,com programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,พุธ,19,พุธ_19
ENGCE117_sec2,com programming,อ.อนันท ทับเกิด,ทค1_101,theory,พุธ,19,พุธ_19
